"","P09923","P05186","P05187","P10696","A0A2R8YDJ8.1","A0A2R8YDJ8.2","O60729.1","O60729.2","Q16667","P28562","Q05923","Q13115","Q16690","Q9Y6W6","O75319","Q9UNI6","Q6FI36","Q8NEJ0","Q9H596","Q4G0W2","Q9H1R2","Q9NRW4","Q8WTR2","Q9BVJ7","Q68J44","Q9UII6","Q9BV47","Q5VZP5","P51452","Q16828","Q16829","Q99956","Q9BY84","Q13202","O95278","Q93096","Q12974","O75365","A2A3K4","Q8WUK0","O60942","Q8WYL5","Q76I76","Q8TE77","Q8WUJ0","Q9Y6J8","Q13496","Q13613","Q13614","Q9NXD2","A4FU01","Q9C0I1","Q8NCE2","Q13615","Q9NYA4","O95248","Q86WG5","Q9Y217","Q9Y216","Q96EF0","Q96QG7","Q9ULE6.1","Q9ULE6.2","O75061","O14976","P60484","Q9HBL0","Q63HR2","Q68CZ2","P56180","Q6XPS3","P18031","P17706","Q05209","Q99952","Q9Y2R2","Q12923","Q4JDL3","Q15678","Q16825","Q9H3S7","P26045","P29074","P54829","P35236","Q15256","Q06124","Q53XS4","Q6IQ43","P18433.1","P18433.2","P23469.1","P23469.2","P23467","Q9HD43","Q12913","Q16827","A0A087WZU1","P08575.1","P08575.2","Q2HXI4.1","Q2HXI4.2","P10586.1","P10586.2","Q13332.1","Q13332.2","P23470.1","P23470.2","P23471.1","P23471.2","Q5TG12.1","Q5TG12.2","P28827.1","P28827.2","O14522.1","O14522.2","Q92729.1","Q92729.2","Q16849","Q92932","Q92562","Q9Y2H2","Q9NTJ5","O43426","O15056","P24666","Q9NP77","P30304","P30305","P30307","Q99502","O00167","Q99504","A0A0S2Z3Q2","Q05D32","O95476","Q9Y5B0","Q9GZU7","O14595","O15194","Q3ZCQ8","Q8WVY7","Q9BXW7","Q9H0R4","Q9H008","Q96GD0","A6NDG6","P16118","O60825","Q16875","Q16877","P07738","Q6FHU2","P15259","Q8N0Y7","Q96HS1","P57075","Q8TF42","Q9NQ88","P11117","P15309","Q9BZG2","Q9NPH0","Q9UNW1","B7WPL9","A0A087WZV0","Q8TE99","Q9NRX4","Q9H0C8","Q9P0J1","Q9P2J9","O60346","Q6ZVD8","A8MPX8","P35813","O75688","Q8N819","O15297","Q8WY54","P49593","O15355","Q9ULR3","Q5JR12","Q96MI6","Q8N3J5","Q5SGD2","Q8NI37","Q15750","P13686","Q6ZNF0","P62136","P62140","P36873","P67775","P62714","Q08209","P16298","P48454","P60510","P53041","O00743","O14829","O14830","Q8IXW5"
"P18433|1",0.89787,0.89473,0.89392,0.90101,0.84073,0.87499,0.86188,0.87208,0.86658,0.8676,0.87689,0.86632,0.8736,0.86657,0.87837,0.86495,0.88324,0.85871,0.88549,0.86928,0.8755,0.86649,0.87253,0.89131,0.8735,0.85443,0.8852,0.84743,0.86853,0.88287,0.87183,0.87783,0.87179,0.8754,0.8415,0.85847,0.879,0.86096,0.8574,0.87568,0.86651,0.8781,0.86303,0.87123,0.86496,0.86749,0.84244,0.86045,0.88089,0.8837,0.87139,0.88852,0.87382,0.88579,0.90072,0.89336,0.89974,0.88553,0.86976,0.89623,0.8951,0.85168,0.87622,0.85961,0.86688,0.87133,0.87307,0.82955,0.86418,0.88854,0.87717,0.7582,0.79171,0.80412,0.77345,0.77756,0.82148,0.83055,0.85923,0.80419,0.79638,0.80634,0.80339,0.84187,0.87061,0.83831,0.79236,0.78915,0.77001,0,0.65146,0.59777,0.71972,0.59403,0.70981,0.74181,0.71419,0.76536,0.68106,0.8589,0.70437,0.68447,0.69861,0.69353,0.68906,0.69039,0.75141,0.79651,0.77381,0.79677,0.72647,0.73258,0.73821,0.74185,0.7154,0.74052,0.72243,0.70255,0.77627,0.79278,0.87496,0.88575,0.88862,0.86716,0.89428,0.87342,0.88164,0.87581,0.87638,0.8568,0.84373,0.84017,0.88286,0.86994,0.85519,0.87514,0.87969,0.87574,0.88055,0.8726,0.86269,0.86927,0.90091,0.8709,0.87729,0.88693,0.88996,0.86001,0.87819,0.86603,0.85596,0.8693,0.88767,0.88464,0.88062,0.88943,0.88513,0.84636,0.88762,0.89374,0.90234,0.87518,0.87735,0.87436,0.88762,0.89679,0.8805,0.88154,0.87244,0.88672,0.8826,0.85505,0.86809,0.88612,0.88482,0.87678,0.85028,0.88365,0.86904,0.82861,0.88854,0.8828,0.88812,0.8873,0.85822,0.85394,0.8715,0.88497,0.87792,0.87801,0.8624,0.8712,0.87446,0.85967,0.86297,0.85969,0.8626,0.86501,0.85238,0.88919,0.87411,0.89571,0.86177,0.87847
"P18433|2",0.87469,0.89413,0.8676,0.87545,0.89343,0.8514,0.86584,0.83848,0.87053,0.86356,0.85821,0.87521,0.87539,0.8742,0.84554,0.87089,0.80377,0.87247,0.83163,0.86645,0.87757,0.88068,0.86497,0.85205,0.85578,0.87503,0.87311,0.87114,0.85502,0.86154,0.87205,0.87065,0.85873,0.86601,0.88656,0.87191,0.86681,0.86737,0.82677,0.88198,0.87541,0.88092,0.85237,0.8603,0.86647,0.87725,0.85952,0.87936,0.88193,0.87748,0.8949,0.89602,0.87098,0.87011,0.88508,0.87814,0.86981,0.89436,0.88028,0.88942,0.86861,0.87034,0.89447,0.8724,0.87459,0.87389,0.86332,0.8796,0.87243,0.83442,0.8572,0.82104,0.83873,0.754,0.76586,0.82332,0.77986,0.81863,0.83267,0.82975,0.83581,0.79937,0.76305,0.79115,0.82881,0.83546,0.8771,0.87006,0.81172,0.65146,0,0.70971,0.56354,0.78416,0.76634,0.75129,0.65792,0.77388,0.7249,0.85241,0.66737,0.55634,0.66132,0.57122,0.70031,0.57881,0.82797,0.75153,0.78494,0.73969,0.82137,0.7678,0.79621,0.78584,0.80184,0.78438,0.83041,0.81071,0.78345,0.77471,0.88367,0.86115,0.87759,0.86448,0.89513,0.86959,0.87548,0.86032,0.88997,0.87498,0.84953,0.85967,0.85954,0.86382,0.87354,0.85966,0.80143,0.8735,0.8739,0.86048,0.8629,0.86021,0.87832,0.88082,0.87272,0.88832,0.8739,0.87492,0.87755,0.86265,0.87577,0.87293,0.8784,0.84488,0.86489,0.87679,0.87532,0.86326,0.87866,0.87165,0.87455,0.89605,0.85635,0.88014,0.85863,0.89635,0.86183,0.86379,0.86713,0.89935,0.88952,0.88965,0.85544,0.88884,0.89152,0.86015,0.87884,0.8942,0.83225,0.86097,0.89393,0.89145,0.87903,0.90086,0.88813,0.85198,0.8684,0.87308,0.88529,0.89264,0.89276,0.88191,0.87993,0.83322,0.84725,0.88626,0.88559,0.87363,0.86084,0.87606,0.85815,0.89057,0.90215,0.86501
"P23469|1",0.8893,0.88054,0.88074,0.87677,0.85491,0.86628,0.84825,0.8668,0.87494,0.873,0.85019,0.86837,0.85431,0.85772,0.84329,0.82913,0.86934,0.83686,0.87043,0.86426,0.8793,0.88443,0.86819,0.86818,0.88046,0.83149,0.88612,0.86114,0.8426,0.89653,0.87786,0.88822,0.87469,0.85126,0.85723,0.86613,0.86852,0.87906,0.88819,0.85897,0.86927,0.86271,0.86682,0.8669,0.86062,0.88396,0.88744,0.89039,0.88429,0.86047,0.8863,0.90041,0.86738,0.8509,0.89127,0.89661,0.87433,0.89072,0.88395,0.88329,0.88376,0.86998,0.88639,0.87408,0.87974,0.88115,0.87791,0.85018,0.87159,0.87687,0.88569,0.86253,0.77917,0.74217,0.69408,0.72031,0.78197,0.78199,0.8629,0.86488,0.83461,0.80567,0.76537,0.83195,0.82697,0.8365,0.82505,0.82987,0.77044,0.59777,0.70971,0,0.71195,0.72619,0.58801,0.78889,0.75974,0.73225,0.48613,0.84081,0.67514,0.72905,0.69006,0.7249,0.71159,0.746,0.7673,0.67016,0.75165,0.70368,0.7036,0.7546,0.73823,0.75633,0.72056,0.74604,0.7374,0.83603,0.83079,0.81055,0.85834,0.88899,0.87269,0.87098,0.87967,0.86211,0.87292,0.86008,0.87599,0.84178,0.88061,0.87785,0.88365,0.88254,0.86973,0.86381,0.87982,0.87,0.87015,0.87576,0.84844,0.82802,0.86488,0.88299,0.88618,0.8765,0.87168,0.87432,0.86299,0.84912,0.87183,0.89012,0.88641,0.86872,0.89341,0.87708,0.87807,0.87848,0.86844,0.89401,0.88981,0.87217,0.89564,0.88225,0.89418,0.87291,0.89669,0.88429,0.88448,0.88762,0.86633,0.87231,0.88263,0.88115,0.88279,0.85569,0.87462,0.90432,0.8647,0.85793,0.88895,0.89563,0.8666,0.89089,0.85358,0.86387,0.88031,0.86186,0.8713,0.8875,0.85594,0.87252,0.88032,0.88249,0.87675,0.84163,0.84695,0.85183,0.88446,0.87737,0.86673,0.88199,0.90075,0.86816
"P23469|2",0.89859,0.89916,0.89111,0.88315,0.85717,0.87332,0.87127,0.84191,0.84229,0.86068,0.84862,0.87077,0.86646,0.87324,0.86678,0.84553,0.83531,0.86114,0.82204,0.86235,0.863,0.88201,0.86139,0.86736,0.86314,0.8642,0.87316,0.8616,0.85798,0.86511,0.87452,0.87351,0.85946,0.86428,0.84997,0.82719,0.85543,0.84993,0.84633,0.87041,0.87193,0.86149,0.84795,0.84563,0.82083,0.86775,0.87199,0.89609,0.88353,0.8763,0.87453,0.89284,0.86791,0.87962,0.90154,0.86443,0.86162,0.87754,0.89299,0.89459,0.8896,0.87764,0.87259,0.8639,0.85926,0.88234,0.87073,0.85819,0.88132,0.87477,0.86511,0.73651,0.80899,0.71581,0.79537,0.79113,0.7977,0.81139,0.83832,0.78837,0.84054,0.84121,0.8444,0.8184,0.85966,0.86184,0.83899,0.8711,0.74416,0.71972,0.56354,0.71195,0,0.7809,0.7653,0.77477,0.81575,0.80113,0.76977,0.82313,0.70439,0.66904,0.71949,0.67845,0.74386,0.67576,0.8069,0.72603,0.76468,0.79743,0.81157,0.8198,0.79087,0.80626,0.78011,0.83674,0.8279,0.74033,0.82605,0.81158,0.86983,0.86025,0.86804,0.86269,0.87458,0.87267,0.84895,0.87682,0.88392,0.87997,0.86532,0.85038,0.8676,0.89813,0.83861,0.85522,0.87603,0.87346,0.85864,0.86836,0.87339,0.84364,0.88923,0.87832,0.87246,0.87284,0.86129,0.83851,0.84996,0.84922,0.84611,0.87913,0.85347,0.85909,0.87211,0.87495,0.86736,0.86118,0.87706,0.88954,0.88664,0.88682,0.8879,0.87068,0.8953,0.89876,0.87645,0.87385,0.88223,0.89184,0.87908,0.86553,0.883,0.90112,0.86297,0.87959,0.88781,0.89077,0.88532,0.89305,0.88186,0.88951,0.87169,0.88384,0.8654,0.84169,0.85623,0.86156,0.87853,0.88944,0.86851,0.86591,0.87111,0.86879,0.8651,0.86117,0.87113,0.86112,0.86831,0.86626,0.80802,0.88658,0.89865,0.85202
"P23467",0.88376,0.89208,0.88106,0.87159,0.86902,0.83612,0.85409,0.81082,0.87133,0.85893,0.87362,0.86454,0.86086,0.87641,0.87132,0.87465,0.86852,0.86018,0.88434,0.86389,0.85626,0.84551,0.87403,0.87243,0.87407,0.87947,0.88,0.87026,0.86899,0.85118,0.85678,0.86853,0.85839,0.87328,0.86259,0.82565,0.84511,0.84084,0.84335,0.88638,0.88849,0.86108,0.85887,0.87324,0.86132,0.87123,0.89207,0.88466,0.87842,0.89278,0.87441,0.893,0.87654,0.9033,0.88371,0.86432,0.89194,0.86848,0.88927,0.86957,0.902,0.88658,0.89487,0.88189,0.85882,0.87862,0.86721,0.87992,0.85648,0.83728,0.8414,0.79464,0.73389,0.81785,0.73856,0.79739,0.78467,0.80132,0.81479,0.8475,0.79321,0.81243,0.75606,0.83886,0.74427,0.80724,0.70759,0.68703,0.74317,0.59403,0.78416,0.72619,0.7809,0,0.66075,0.67395,0.67773,0.82981,0.75396,0.87797,0.82277,0.7528,0.80197,0.7259,0.80698,0.75427,0.83612,0.80389,0.83652,0.83858,0.80387,0.7744,0.75643,0.76234,0.76296,0.76457,0.80219,0.75098,0.80725,0.82058,0.8649,0.87414,0.88265,0.87514,0.88972,0.8503,0.86747,0.87412,0.87188,0.85796,0.85819,0.87945,0.87139,0.88008,0.86338,0.84817,0.8717,0.83176,0.86204,0.84959,0.87862,0.86153,0.88619,0.88267,0.8601,0.87013,0.88913,0.86951,0.85938,0.88011,0.85724,0.89121,0.88363,0.87656,0.88121,0.85965,0.86427,0.88452,0.89664,0.88953,0.87025,0.88572,0.8701,0.87344,0.8926,0.88576,0.89192,0.86783,0.8853,0.89123,0.89302,0.83859,0.87867,0.87942,0.83905,0.84272,0.87399,0.88985,0.85685,0.88674,0.88648,0.89634,0.87741,0.88449,0.85684,0.8461,0.89302,0.87346,0.87889,0.88799,0.8941,0.8898,0.88431,0.87607,0.87894,0.85774,0.87083,0.86982,0.87499,0.88069,0.87894,0.8577,0.87823,0.87439
"Q9HD43",0.87621,0.88905,0.87587,0.88496,0.86542,0.86572,0.87294,0.84673,0.87494,0.85647,0.86227,0.86409,0.85393,0.87684,0.87084,0.83881,0.86092,0.87339,0.86704,0.87762,0.83873,0.8691,0.87142,0.82514,0.87366,0.8815,0.86245,0.86047,0.85481,0.8681,0.85924,0.86059,0.87492,0.8852,0.85584,0.85825,0.87983,0.87373,0.87982,0.86944,0.87255,0.86583,0.86973,0.87458,0.87264,0.83638,0.87902,0.88787,0.86067,0.88348,0.89658,0.89653,0.86189,0.88103,0.89225,0.89032,0.8867,0.88394,0.89206,0.8907,0.88373,0.87856,0.88671,0.8356,0.85219,0.86566,0.83682,0.87438,0.8646,0.89077,0.87638,0.74202,0.74185,0.71746,0.69901,0.66557,0.81583,0.8023,0.82116,0.81187,0.8066,0.75973,0.75743,0.86095,0.78666,0.78503,0.80489,0.80554,0.75752,0.70981,0.76634,0.58801,0.7653,0.66075,0,0.66438,0.61161,0.69743,0.6031,0.8215,0.75819,0.68672,0.76678,0.69848,0.75246,0.7035,0.82094,0.69743,0.79811,0.70433,0.85615,0.74458,0.83007,0.76577,0.81555,0.75699,0.8198,0.80422,0.76577,0.77267,0.90856,0.88414,0.88181,0.89268,0.8816,0.88622,0.86055,0.87198,0.85148,0.8702,0.84928,0.84007,0.86684,0.83172,0.86683,0.86433,0.87956,0.8656,0.88054,0.85543,0.87757,0.85402,0.88523,0.87599,0.8664,0.88829,0.88883,0.86988,0.86339,0.86106,0.86046,0.8747,0.8821,0.87291,0.88112,0.87563,0.89053,0.86908,0.88207,0.87506,0.88509,0.86637,0.8823,0.86387,0.88576,0.87593,0.89418,0.87637,0.88468,0.88275,0.88268,0.86206,0.87689,0.88317,0.89872,0.8716,0.87948,0.89495,0.87801,0.88059,0.89345,0.88426,0.88519,0.88749,0.86767,0.86436,0.88365,0.88894,0.8737,0.83473,0.8879,0.892,0.8694,0.87564,0.8737,0.87648,0.8687,0.88003,0.87931,0.84667,0.86934,0.88516,0.88508,0.87128
"Q12913",0.87345,0.88993,0.88988,0.88898,0.86384,0.86237,0.86988,0.86922,0.84205,0.86289,0.81658,0.8434,0.86533,0.87419,0.87318,0.87316,0.86669,0.87102,0.86837,0.86301,0.87847,0.8642,0.87954,0.87594,0.8803,0.88225,0.86534,0.86841,0.87395,0.86257,0.84787,0.87646,0.87544,0.8739,0.87475,0.81809,0.83422,0.83794,0.87766,0.8613,0.86318,0.85001,0.85011,0.87281,0.86659,0.86877,0.89523,0.88831,0.88381,0.83331,0.88925,0.89472,0.89089,0.89794,0.8944,0.88707,0.89369,0.89793,0.88074,0.87635,0.89154,0.86673,0.86663,0.86344,0.86773,0.87269,0.87989,0.86446,0.86815,0.89117,0.89332,0.72284,0.67111,0.76936,0.8007,0.75357,0.78871,0.77254,0.79316,0.80153,0.84191,0.806,0.78034,0.80053,0.7158,0.77165,0.85071,0.83096,0.82974,0.74181,0.75129,0.78889,0.77477,0.67395,0.66438,0,0.61168,0.75478,0.7936,0.85649,0.70177,0.54779,0.70228,0.55362,0.70773,0.55048,0.78074,0.82341,0.80822,0.7671,0.80524,0.83438,0.69729,0.82993,0.73253,0.83213,0.78863,0.82438,0.84243,0.8331,0.86177,0.88944,0.8404,0.8732,0.89739,0.87788,0.82556,0.88106,0.88673,0.84669,0.85151,0.8784,0.85069,0.86256,0.86827,0.87655,0.81964,0.87292,0.86667,0.86683,0.8526,0.86017,0.8827,0.8749,0.87212,0.87682,0.85429,0.87634,0.88469,0.89331,0.86864,0.88439,0.88338,0.84484,0.87601,0.86761,0.89268,0.87099,0.88946,0.87949,0.87333,0.88558,0.88849,0.87412,0.88799,0.89201,0.89224,0.87067,0.88452,0.89034,0.87579,0.88596,0.8587,0.87182,0.88567,0.89369,0.88475,0.85155,0.87937,0.8834,0.87297,0.8848,0.8749,0.85697,0.87985,0.8667,0.88038,0.87138,0.87785,0.85875,0.89039,0.88454,0.88579,0.85831,0.87513,0.88981,0.8775,0.87176,0.89252,0.86679,0.86643,0.88627,0.88445,0.86273
"Q16827",0.88842,0.90154,0.887,0.88824,0.87325,0.86359,0.86409,0.85521,0.86877,0.86796,0.87271,0.87437,0.86631,0.87505,0.87245,0.81127,0.8563,0.87792,0.88437,0.86555,0.87193,0.87143,0.86083,0.85608,0.85916,0.87961,0.87646,0.86128,0.88833,0.88325,0.8635,0.8505,0.85348,0.87262,0.86228,0.865,0.8708,0.87007,0.83223,0.87291,0.86214,0.86624,0.86329,0.87188,0.87473,0.85811,0.88453,0.86336,0.86365,0.89025,0.89304,0.88279,0.86248,0.87723,0.87893,0.87868,0.88873,0.87776,0.86444,0.88413,0.86748,0.87624,0.85812,0.83764,0.87971,0.86348,0.86714,0.89116,0.85145,0.87504,0.88476,0.84118,0.75875,0.82918,0.80238,0.79921,0.70542,0.80905,0.83393,0.83176,0.86274,0.75817,0.69374,0.79772,0.71122,0.74747,0.86797,0.82586,0.82294,0.71419,0.65792,0.75974,0.81575,0.67773,0.61161,0.61168,0,0.73733,0.74148,0.85465,0.71723,0.72879,0.70462,0.73796,0.71416,0.74113,0.77873,0.82522,0.81316,0.81493,0.7716,0.83373,0.70623,0.81191,0.70952,0.80928,0.76364,0.79862,0.74981,0.7357,0.87517,0.87729,0.891,0.88399,0.87512,0.86165,0.87758,0.86304,0.86739,0.85442,0.88215,0.88755,0.86975,0.87174,0.86231,0.85271,0.86162,0.85504,0.88452,0.89136,0.88205,0.8823,0.85782,0.86228,0.89567,0.86867,0.88983,0.883,0.86772,0.88995,0.8757,0.8728,0.88321,0.87777,0.87454,0.87756,0.87897,0.87928,0.88437,0.89667,0.88164,0.8827,0.88578,0.87724,0.87721,0.87991,0.87858,0.86484,0.87383,0.90003,0.88368,0.85551,0.87576,0.88928,0.87508,0.86408,0.86813,0.8862,0.87902,0.89297,0.86593,0.86346,0.88385,0.88382,0.88403,0.83193,0.85744,0.87457,0.88155,0.86352,0.85651,0.86976,0.86679,0.88014,0.88068,0.86723,0.86598,0.87298,0.87245,0.86828,0.87465,0.8703,0.89955,0.87579
"A0A087WZU1",0.8951,0.88551,0.90036,0.89823,0.85021,0.86149,0.85237,0.86219,0.8752,0.8964,0.85946,0.87461,0.87445,0.87993,0.87089,0.86105,0.86108,0.84737,0.86024,0.86824,0.88412,0.88808,0.86173,0.86651,0.87362,0.87136,0.87143,0.85579,0.87805,0.85997,0.87245,0.86865,0.86072,0.84004,0.88453,0.87674,0.87632,0.86455,0.8869,0.87128,0.84187,0.85294,0.86397,0.84593,0.87774,0.85859,0.891,0.87603,0.88459,0.89334,0.87436,0.88785,0.87666,0.89069,0.89253,0.88043,0.87359,0.89002,0.86776,0.87271,0.86836,0.87259,0.88177,0.85079,0.8766,0.86166,0.84545,0.87887,0.87012,0.86759,0.857,0.8385,0.83232,0.62986,0.64404,0.60845,0.77842,0.73497,0.82469,0.83338,0.82223,0.72732,0.65217,0.78691,0.82603,0.81156,0.83263,0.84538,0.73466,0.76536,0.77388,0.73225,0.80113,0.82981,0.69743,0.75478,0.73733,0,0.6682,0.84809,0.52224,0.72701,0.50631,0.74213,0.50585,0.73443,0.77208,0.74939,0.77462,0.77027,0.72476,0.85126,0.72892,0.81661,0.70262,0.83647,0.7342,0.87625,0.78914,0.82057,0.86017,0.88232,0.86471,0.86951,0.87647,0.87111,0.86018,0.87799,0.86347,0.86372,0.87643,0.87404,0.85642,0.87793,0.87687,0.87615,0.86928,0.86842,0.87254,0.87895,0.8426,0.86429,0.8756,0.87844,0.86472,0.87627,0.87304,0.88662,0.88902,0.87836,0.88595,0.84151,0.87585,0.86523,0.87336,0.87724,0.86946,0.84172,0.85475,0.87475,0.85633,0.8848,0.85054,0.88349,0.89503,0.87479,0.8918,0.83602,0.86331,0.86783,0.88997,0.87134,0.86425,0.88661,0.86936,0.87313,0.87813,0.8929,0.86888,0.85986,0.87571,0.87075,0.85144,0.8854,0.87217,0.84895,0.87696,0.86693,0.8856,0.83899,0.86471,0.85711,0.8797,0.86507,0.87131,0.8624,0.86556,0.86052,0.88575,0.85722,0.84181,0.88063,0.86425,0.88017
"P08575|1",0.89029,0.87872,0.89076,0.89507,0.86751,0.84491,0.87636,0.84489,0.84918,0.88258,0.88146,0.87741,0.87124,0.87275,0.86353,0.86939,0.86947,0.86329,0.85764,0.85164,0.87916,0.87755,0.88063,0.84991,0.87476,0.87439,0.85259,0.86243,0.86382,0.88539,0.87544,0.89147,0.87721,0.84358,0.88416,0.87314,0.87333,0.8556,0.87172,0.87515,0.85593,0.88387,0.88223,0.88265,0.89012,0.82925,0.87405,0.89117,0.88317,0.88035,0.86854,0.88708,0.87329,0.89986,0.88748,0.8912,0.88575,0.87986,0.89246,0.89181,0.8849,0.85782,0.8855,0.85525,0.87675,0.88233,0.87,0.87229,0.83406,0.88708,0.87692,0.88072,0.82025,0.7047,0.71416,0.66816,0.7321,0.81818,0.85365,0.85175,0.81434,0.85409,0.75991,0.76761,0.8514,0.85348,0.82206,0.85391,0.79099,0.68106,0.7249,0.48613,0.76977,0.75396,0.6031,0.7936,0.74148,0.6682,0,0.81725,0.70497,0.77333,0.69636,0.78788,0.7121,0.77806,0.77857,0.68996,0.79317,0.72195,0.72278,0.8019,0.75402,0.78338,0.74221,0.80022,0.73986,0.82452,0.7911,0.77813,0.86729,0.89478,0.87987,0.89185,0.8795,0.87538,0.83761,0.85941,0.87794,0.88181,0.87819,0.88315,0.87,0.87709,0.86454,0.8742,0.8675,0.86012,0.86845,0.87969,0.87826,0.86567,0.8781,0.88132,0.89367,0.87547,0.87052,0.88558,0.881,0.87809,0.88165,0.88179,0.88222,0.88497,0.88641,0.87257,0.88008,0.86933,0.87762,0.89263,0.88413,0.87812,0.88183,0.88953,0.88691,0.88567,0.90963,0.8597,0.89077,0.87705,0.89728,0.82103,0.86664,0.87823,0.88786,0.88599,0.88306,0.88095,0.89413,0.88823,0.88463,0.88795,0.8831,0.87385,0.84303,0.8627,0.88577,0.8829,0.8758,0.85618,0.87315,0.89694,0.89484,0.87408,0.88115,0.85306,0.8577,0.8615,0.86556,0.89042,0.87036,0.86111,0.89904,0.87695
"P08575|2",0.88993,0.87344,0.88591,0.8833,0.8738,0.87815,0.86146,0.89022,0.8684,0.87813,0.88564,0.86532,0.85427,0.87508,0.88238,0.87167,0.86331,0.86082,0.87464,0.8655,0.86233,0.8753,0.8825,0.86266,0.88688,0.88061,0.88072,0.86675,0.86589,0.88214,0.89421,0.86258,0.88474,0.87237,0.88309,0.8704,0.87997,0.85483,0.87392,0.88232,0.88554,0.88375,0.8723,0.87593,0.86904,0.87508,0.89893,0.89664,0.88955,0.88123,0.88325,0.87983,0.88297,0.88798,0.89357,0.88941,0.89725,0.88735,0.89119,0.88415,0.90108,0.86064,0.89474,0.89232,0.8891,0.87831,0.88088,0.87075,0.87903,0.86246,0.8716,0.8578,0.88773,0.84911,0.8651,0.84353,0.81842,0.88958,0.79214,0.84664,0.88528,0.88191,0.86048,0.87268,0.87916,0.83912,0.87734,0.84152,0.84518,0.8589,0.85241,0.84081,0.82313,0.87797,0.8215,0.85649,0.85465,0.84809,0.81725,0,0.8517,0.87499,0.84865,0.88525,0.85671,0.87776,0.84508,0.8351,0.83532,0.84941,0.8268,0.84479,0.82838,0.85713,0.8646,0.85173,0.83516,0.86017,0.88537,0.87439,0.87515,0.86926,0.88445,0.89309,0.88876,0.86216,0.87609,0.86819,0.85855,0.86455,0.87673,0.87492,0.85346,0.86876,0.86454,0.86136,0.85472,0.87595,0.86119,0.87801,0.88268,0.86497,0.89941,0.88515,0.87365,0.89259,0.86281,0.87774,0.88335,0.88016,0.88142,0.87263,0.87204,0.87333,0.87527,0.87517,0.86689,0.87768,0.87767,0.87389,0.8663,0.87417,0.88344,0.88498,0.88528,0.89722,0.88945,0.87154,0.85894,0.88359,0.89005,0.88694,0.90435,0.8768,0.86675,0.87783,0.8839,0.89059,0.88276,0.88616,0.87646,0.88135,0.88308,0.87852,0.86489,0.88461,0.87497,0.88651,0.87044,0.87446,0.87994,0.85917,0.87185,0.86541,0.86808,0.87792,0.87647,0.86003,0.89613,0.87614,0.88815,0.89513,0.8891,0.86781
"Q2HXI4|1",0.87416,0.8887,0.89148,0.8882,0.87282,0.84926,0.86789,0.84717,0.87062,0.87218,0.87138,0.87796,0.85248,0.88792,0.876,0.8308,0.87268,0.84434,0.87726,0.82919,0.85772,0.8427,0.86605,0.87135,0.86141,0.87856,0.86407,0.88511,0.8793,0.84561,0.83379,0.86756,0.85633,0.85855,0.84615,0.87368,0.86383,0.86946,0.86639,0.86767,0.85786,0.87779,0.86984,0.87028,0.87274,0.87579,0.88517,0.89202,0.89896,0.88491,0.89085,0.87684,0.87849,0.87583,0.87204,0.9047,0.89164,0.88887,0.89738,0.88972,0.85,0.89007,0.87481,0.8815,0.87364,0.89249,0.86355,0.87745,0.83606,0.87713,0.87195,0.85387,0.79574,0.6538,0.65774,0.59942,0.75207,0.7285,0.83382,0.86078,0.83243,0.73766,0.60745,0.76346,0.77045,0.75681,0.80392,0.85712,0.77399,0.70437,0.66737,0.67514,0.70439,0.82277,0.75819,0.70177,0.71723,0.52224,0.70497,0.8517,0,0.61347,0.07774,0.6295,0.10032,0.62961,0.68457,0.75101,0.68124,0.79363,0.68512,0.8411,0.69465,0.84991,0.65625,0.83938,0.66252,0.84245,0.77964,0.7758,0.88151,0.89205,0.88041,0.90024,0.90221,0.88785,0.8751,0.86938,0.88442,0.87748,0.85637,0.87653,0.8895,0.84977,0.86294,0.87648,0.85512,0.88239,0.85241,0.88045,0.87106,0.83886,0.89372,0.87696,0.85669,0.88418,0.88582,0.87088,0.86012,0.88464,0.85239,0.87655,0.88422,0.86576,0.88119,0.87662,0.88521,0.86864,0.88256,0.88502,0.87048,0.89157,0.88455,0.87589,0.88784,0.90483,0.87438,0.83835,0.87958,0.88808,0.89054,0.86182,0.85129,0.8954,0.87922,0.87113,0.86768,0.8825,0.85264,0.86476,0.89209,0.8685,0.89217,0.88075,0.86553,0.87717,0.87738,0.89397,0.85884,0.87673,0.88086,0.86543,0.87935,0.87251,0.87789,0.87776,0.87288,0.87253,0.89585,0.85616,0.89468,0.88875,0.89396,0.86919
