tr|A0A0A2WD25|A0A0A2WD25_BEABA	tr|A0A0K6LV95|A0A0K6LV95_BACIU	tr|A0A0K6LV95|A0A0K6LV95_BACIU GTP pyrophosphokinase OS=Bacillus subtilis GN=relA PE=3 SV=1 Split=0 	0.0
tr|A0A2I0CPJ2|A0A2I0CPJ2_9PSED	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.64e-152
tr|A0A2I0D9L1|A0A2I0D9L1_9FLAO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	4.42e-158
tr|A0A2I0DPB9|A0A2I0DPB9_9GAMM	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.05e-134
tr|A0A2I0F1S2|A0A2I0F1S2_9BACL	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I0FBF9|A0A2I0FBF9_9GAMM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.34e-144
tr|A0A2I0FHV9|A0A2I0FHV9_9BACL	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I0FWV1|A0A2I0FWV1_9GAMM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.09e-136
tr|A0A2I0QW85|A0A2I0QW85_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I0QZZ9|A0A2I0QZZ9_9FLAO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	3.71e-161
tr|A0A2I0V4S9|A0A2I0V4S9_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I0Z4C6|A0A2I0Z4C6_LACPE	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1DKS5|A0A2I1DKS5_9PROT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	5.89e-131
tr|A0A2I1K4C6|A0A2I1K4C6_9LACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1K965|A0A2I1K965_9LACT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1MNQ1|A0A2I1MNQ1_9LACT	tr|A0A0V9V962|A0A0V9V962_STAEP	tr|A0A0V9V962|A0A0V9V962_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1RHI7|A0A2I1RHI7_MOROS	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	2.28e-137
tr|A0A2I1TXZ4|A0A2I1TXZ4_STRMT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1UDN4|A0A2I1UDN4_STROR	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1XCB6|A0A2I1XCB6_NEISI	tr|D4FJM8|D4FJM8_STAEP	tr|D4FJM8|D4FJM8_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis M23864:W2(grey) GN=recG PE=3 SV=1 Split=0 	3.13e-143
tr|A0A2I1YGH8|A0A2I1YGH8_STRMC	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I1YYT1|A0A2I1YYT1_STRMT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I2A5N1|A0A2I2A5N1_9GAMM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	8.98e-152
tr|A0A2I2AA32|A0A2I2AA32_9LACO	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I2DWF3|A0A2I2DWF3_9FLAO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	2.26e-155
tr|A0A2I3CDI3|A0A2I3CDI3_VIBAX	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	8.20e-139
tr|A0A2I5HMT0|A0A2I5HMT0_SALDZ	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.61e-139
tr|A0A2I5KLX2|A0A2I5KLX2_STRSU	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2I6S2Q8|A0A2I6S2Q8_9RHOO	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.64e-140
tr|A0A2I6SVD2|A0A2I6SVD2_ECOLX	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.57e-137
tr|A0A2I7K8E1|A0A2I7K8E1_9RHOB	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	4.68e-149
tr|A0A2I7N3A0|A0A2I7N3A0_9NEIS	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	9.20e-139
tr|A0A2I7WB64|A0A2I7WB64_MYCTX	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.04e-112
tr|A0A2I8ACY4|A0A2I8ACY4_9NOSO	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	4.22e-175
tr|A0A2I8DLG2|A0A2I8DLG2_9BURK	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	6.00e-149
tr|A0A2I8ELE8|A0A2I8ELE8_9BURK	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	8.54e-146
tr|A0A2I9CT00|A0A2I9CT00_9DEIO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	5.74e-162
tr|A0A2I9DIJ3|A0A2I9DIJ3_9FLAO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	7.66e-153
tr|A0A2J0KVY2|A0A2J0KVY2_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2J0L843|A0A2J0L843_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.23e-157
tr|A0A2J0LIF5|A0A2J0LIF5_9BACT	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.21e-174
tr|A0A2J0LTL3|A0A2J0LTL3_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.12e-156
tr|A0A2J0MAA8|A0A2J0MAA8_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.08e-167
tr|A0A2J0MP41|A0A2J0MP41_9BACT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	3.82e-169
tr|A0A2J0MZV0|A0A2J0MZV0_9BACT	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	2.65e-158
tr|A0A2J0PHM1|A0A2J0PHM1_9ENTR	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	5.39e-137
tr|A0A2J0Q772|A0A2J0Q772_9BACT	tr|A0A0V9V962|A0A0V9V962_STAEP	tr|A0A0V9V962|A0A0V9V962_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis GN=recG PE=3 SV=1 Split=0 	8.70e-153
tr|A0A2J0R6L5|A0A2J0R6L5_9ENTR	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.14e-138
tr|A0A2J0SYC8|A0A2J0SYC8_STEMA	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	8.35e-138
tr|A0A2J0UDH0|A0A2J0UDH0_STEMA	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	5.94e-136
tr|A0A2J0YZN5|A0A2J0YZN5_RHIML	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.54e-147
tr|A0A2J4JLS9|A0A2J4JLS9_9FIRM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.51e-169
tr|A0A2J4Z4M8|A0A2J4Z4M8_9ENTR	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.33e-144
tr|A0A2J6H7D9|A0A2J6H7D9_9SPHI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.15e-154
tr|A0A2J6HHU3|A0A2J6HHU3_9BACT	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	7.88e-161
tr|A0A2J6I807|A0A2J6I807_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.39e-159
tr|A0A2J6IE92|A0A2J6IE92_9BACT	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	6.27e-156
tr|A0A2J6J1V1|A0A2J6J1V1_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	9.54e-168
tr|A0A2J6J335|A0A2J6J335_9BACT	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	1.30e-162
tr|A0A2J6MVA6|A0A2J6MVA6_9BURK	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	1.45e-141
tr|A0A2J6NQ68|A0A2J6NQ68_9LACO	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2J6P1G8|A0A2J6P1G8_9STAP	tr|D4FJM8|D4FJM8_STAEP	tr|D4FJM8|D4FJM8_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis M23864:W2(grey) GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2J6W9F2|A0A2J6W9F2_9AQUI	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	5.25e-147
tr|A0A2J6WKW1|A0A2J6WKW1_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	3.16e-166
tr|A0A2J6WNE0|A0A2J6WNE0_9BACT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	6.45e-159
tr|A0A2J6X7U3|A0A2J6X7U3_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	4.06e-158
tr|A0A2J6XWT8|A0A2J6XWT8_9BACT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2J7W6Z1|A0A2J7W6Z1_9BURK	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	2.50e-133
tr|A0A2J8B1Z2|A0A2J8B1Z2_9FIRM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	7.98e-167
tr|A0A2J8B926|A0A2J8B926_9FIRM	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	3.29e-162
tr|A0A2J8BBN4|A0A2J8BBN4_9FIRM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.10e-177
tr|A0A2J8I2F5|A0A2J8I2F5_VIBDI	tr|A0A0V9V962|A0A0V9V962_STAEP	tr|A0A0V9V962|A0A0V9V962_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis GN=recG PE=3 SV=1 Split=0 	4.81e-142
tr|A0A2J9E3Z7|A0A2J9E3Z7_9GAMM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	9.45e-144
tr|A0A2J9ET45|A0A2J9ET45_9STRE	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2J9PPK2|A0A2J9PPK2_9LACT	tr|D4FJM8|D4FJM8_STAEP	tr|D4FJM8|D4FJM8_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis M23864:W2(grey) GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2J9UZA9|A0A2J9UZA9_VIBMI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	4.52e-139
tr|A0A2K0A8J6|A0A2K0A8J6_STAHA	tr|A0A0V9V962|A0A0V9V962_STAEP	tr|A0A0V9V962|A0A0V9V962_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2K0JCH9|A0A2K0JCH9_SALHO	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.64e-137
tr|A0A2K0XBY2|A0A2K0XBY2_9BACT	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	1.34e-149
tr|A0A2K0XVI9|A0A2K0XVI9_9GAMM	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	1.49e-135
tr|A0A2K1DXH4|A0A2K1DXH4_9FLAO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	1.11e-154
tr|A0A2K1EJ54|A0A2K1EJ54_9BACL	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2K1G7E9|A0A2K1G7E9_AZOBR	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	4.06e-155
tr|A0A2K1NDN7|A0A2K1NDN7_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.25e-155
tr|A0A2K1NPK0|A0A2K1NPK0_9BACT	tr|L8AHR4|L8AHR4_BACIU	tr|L8AHR4|L8AHR4_BACIU ATP-dependent DNA helicase RecG OS=Bacillus subtilis BEST7613 GN=recG PE=3 SV=1 Split=0 	1.63e-150
tr|A0A2K1NQC1|A0A2K1NQC1_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	6.11e-155
tr|A0A2K1NWZ3|A0A2K1NWZ3_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	1.13e-157
tr|A0A2K1PDD3|A0A2K1PDD3_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	6.67e-161
tr|A0A2K1PHE5|A0A2K1PHE5_9BACT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.58e-154
tr|A0A2K1Q6Q8|A0A2K1Q6Q8_9GAMM	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.71e-137
tr|A0A2K2FPL8|A0A2K2FPL8_9CLOT	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2K2H763|A0A2K2H763_9BACT	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	3.01e-162
tr|A0A2K2RG57|A0A2K2RG57_9ACTN	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	8.38e-138
tr|A0A2K2TKK9|A0A2K2TKK9_LIMFE	tr|A0A125UI00|A0A125UI00_9BACI	tr|A0A125UI00|A0A125UI00_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. LM 4-2 GN=recG PE=3 SV=1 Split=0 	0.0
tr|A0A2K2TP39|A0A2K2TP39_9CLOT	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.01e-168
tr|A0A2K3TQN0|A0A2K3TQN0_ECOLX	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI	tr|A0A0T6BNV5|A0A0T6BNV5_9BACI ATP-dependent DNA helicase RecG OS=Bacillus glycinifermentans GN=recG PE=3 SV=1 Split=0 	2.96e-136
tr|A0A2K3V091|A0A2K3V091_9DEIO	tr|U1ZD21|U1ZD21_9BACI	tr|U1ZD21|U1ZD21_9BACI ATP-dependent DNA helicase RecG OS=Bacillus sp. EGD-AK10 GN=recG PE=3 SV=1 Split=0 	1.42e-162
tr|A0A2K3YW94|A0A2K3YW94_9STAP	tr|A0A0V9V962|A0A0V9V962_STAEP	tr|A0A0V9V962|A0A0V9V962_STAEP ATP-dependent DNA helicase RecG OS=Staphylococcus epidermidis GN=recG PE=3 SV=1 Split=0 	0.0
